Player,height,weight,born,year_start,year_end,position
Charlie Paulk,80,218,1946,,,
Loy Petersen,77,203,1945,,,
Bob Quick,77,214,1946,,,
Craig Raymond,83,234,1945,,,
Mike Riordan,76,198,1945,,,
Dale Schlueter,82,225,1945,,,
Doug Sims,79,194,1943,,,
Greg Smith,77,194,1947,,,
John Trapp,79,209,1945,,,
Wes Unseld,79,245,1946,,,
Dwight Waller,78,218,1945,,,
Cliff Williams,75,179,1945,,,
Ron Williams,75,187,1944,,,
Sam Williams,75,179,1945,,,
Kareem Abdul-Jabbar,86,225,1947,,,
Lucius Allen,74,174,1947,,,
Wally Anderzunas,79,218,1946,,,
John Arthurs,76,183,1947,,,
Johnny Baum,77,198,1946,,,
Butch Beard,75,183,1947,,,
Fred Carter,75,183,1945,,,
Bob Dandridge,78,194,1947,,,
Mike Davis,75,183,1946,,,
Dick Garrett,75,183,1947,,,
Herm Gilliam,75,190,1946,,,
Bob Greacen,79,205,1947,,,
Lamar Green,79,209,1947,,,
Connie Hawkins,80,209,1942,,,
Brian Heaney,74,179,1946,,,
Steve Kuberski,80,214,1947,,,
Mike Lynn,79,214,1945,,,
Willie McCarter,75,174,1946,,,
Steve Mix,79,214,1947,,,
Grady O'Malley,77,203,1948,,,
Bud Ogden,78,214,1946,,,
Bob Portman,77,198,1947,,,
Luther Rackley,82,218,1946,,,
George Reynolds,76,194,1947,,,
Rick Roberson,81,229,1947,,,
Dave Scholz,80,218,1948,,,
Bingo Smith,77,190,1939,,,
Norm Van,77,190,1939,,,
Neal Walk,82,218,1948,,,
John Warren,75,179,1947,,,
Jo Jo,75,179,1947,,,
Bernie Williams,75,174,1945,,,
Lee Winfield,74,172,1947,,,
Don Adams,78,209,1947,,,
Tiny Archibald,73,150,1948,,,
Bob Arnzen,77,203,1947,,,
Dennis Awtrey,82,234,1948,,,
Moe Barr,76,194,1944,,,
Tom Black,82,218,1941,,,
Bob Christian,82,254,1946,,,
Jimmy Collins,74,174,1946,,,
Joe Cooke,75,174,1948,,,
Dave Cowens,81,229,1948,,,
Pete Cross,81,229,1948,,,
Terry Driscoll,79,214,1947,,,
Claude English,76,183,1946,,,
Greg Fillmore,85,238,1947,,,
Levi Fontaine,76,190,1948,,,
Jake Ford,75,179,1946,,,
Gary Freeman,81,209,1948,,,
Walt Gilmore,78,225,1947,,,
Spencer Haywood,80,225,1949,,,
Gar Heard,78,218,1948,,,
Al Henry,81,190,1949,,,
A.W. Holt,81,190,1949,,,
Greg Howard,81,214,1948,,,
John Hummer,81,229,1948,,,
Greg Hyder,78,214,1948,,,
George Johnson,83,245,1947,,,
John Johnson,79,198,1947,,,
Earnie Killum,75,179,1948,,,
Ron Knight,79,214,1947,,,
Sam Lacey,82,234,1948,,,
Bob Lanier,83,249,1948,,,
Pete Maravich,77,196,1947,,,
Harvey Marlatt,75,183,1948,,,
Eddie Mast,81,218,1948,,,
Jim McMillian,77,214,1948,,,
Larry Mikan,79,209,1948,,,
Rex Morgan,77,190,1948,,,
Calvin Murphy,69,163,1948,,,
Ralph Ogden,77,203,1948,,,
Curtis Perry,79,218,1948,,,
Geoff Petrie,76,190,1948,,,
Mike Price,75,198,1948,,,
Bob Riley,81,234,1948,,,
Paul Ruffner,82,225,1948,,,
Mike Silliman,78,225,1944,,,
Garfield Smith,81,234,1945,,,
Dave Sorenson,80,225,1948,,,
Dennis Stewart,78,218,1947,,,
Bill Stricker,81,209,1948,,,
Gary Suiter,81,225,1945,,,
Fred Taylor,77,179,1948,,,
Joe Thomas,78,203,1948,,,
Rudy Tomjanovich,80,216,1948,,,
John Vallely,75,183,1948,,,
Cornell Warner,81,218,1948,,,
Bobby Washington,71,174,1947,,,
Jeff Webb,76,170,1948,,,
Herb White,74,194,1948,,,
Milt Williams,74,181,1945,,,
Willie Williams,79,198,1946,,,
Marv Winkler,73,163,1948,,,
Gary Zeller,75,203,1947,,,
Bill Zopf,73,170,1948,,,
Odis Allison,78,194,1949,,,
Vic Bartolome,84,229,1948,,,
Fred Brown,75,181,1948,,,
Austin Carr,76,198,1948,,,
Sid Catlett,78,229,1948,,,
Phil Chenier,75,179,1950,,,
Jim Cleamons,75,183,1949,,,
Charlie Davis,74,159,1949,,,
Jackie Dinkins,77,209,1950,,,
Ken Durrett,79,190,1948,,,
Dick Gibbs,77,209,1948,,,
Clarence Glover,80,209,1947,,,
Jeff Halliburton,77,192,1949,,,
Fred Hilton,75,183,1948,,,
Jake Jones,75,179,1949,,,
Mo Layton,73,179,1948,,,
Stan Love,81,214,1949,,,
Charlie Lowery,75,183,1949,,,
Jim Marsh,79,214,1946,,,
Jim McDaniels,83,227,1948,,,
Gil McGregor,80,238,1949,,,
Kenny McIntosh,79,225,1949,,,
Cliff Meely,80,214,1947,,,
Dean Meminger,72,174,1948,,,
John Mengelt,74,194,1949,,,
Barry Nelson,82,229,1949,,,
Mike Newlin,76,198,1949,,,
Willie Norwood,79,218,1947,,,
Steve Patterson,81,225,1948,,,
Tom Payne,86,238,1950,,,
Howard Porter,80,218,1948,,,
Clifford Ray,81,229,1949,,,
Jackie Ridgle,76,194,1948,,,
Rich Rinaldi,75,194,1949,,,
Curtis Rowe,79,225,1949,,,
Charlie Scott,77,174,1948,,,
Elmore Smith,84,249,1949,,,
Randy Smith,75,179,1948,,,
William Smith,84,218,1949,,,
Larry Steele,77,179,1949,,,
George Trapp,80,203,1948,,,
Sidney Wicks,80,225,1949,,,
Nate Williams,77,214,1950,,,
Isaiah Wilson,74,174,1948,,,
Dave Wohl,74,183,1949,,,
Barry Yates,79,214,1946,,,
Charlie Yelverton,74,190,1948,,,
Henry Bibby,73,183,1949,,,
Freddie Boyd,74,179,1950,,,
Steve Bracey,73,174,1950,,,
John Brisker,77,209,1947,,,
Roger Brown,77,203,1942,,,
Corky Calhoun,79,209,1950,,,
Bob Davis,79,214,1950,,,
Dwight Davis,80,218,1949,,,
Mickey Davis,75,183,1946,,,
Charles Dudley,74,179,1950,,,
Scott English,78,203,1950,,,
Chris Ford,77,190,1949,,,
Harold Fox,74,174,1949,,,
Rowland Garrett,78,209,1950,,,
John Gianelli,82,218,1950,,,
Travis Grant,79,214,1950,,,
Luther Green,79,190,1946,,,
Charles Johnson,72,170,1949,,,
Ollie Johnson,78,198,1949,,,
Manny Leaks,80,225,1945,,,
Russ Lee,77,183,1950,,,
LaRue Martin,83,207,1950,,,
Bob McAdoo,81,209,1951,,,
Paul McCracken,76,179,1950,,,
Eric McWilliams,80,198,1950,,,
Mark Minor,78,214,1950,,,
Bob Nash,80,194,1950,,,
Lloyd Neal,79,225,1950,,,
Tom Patterson,78,218,1948,,,
Kevin Porter,72,170,1950,,,
Jim Price,75,194,1949,,,
Mike Ratliff,82,229,1951,,,
Tom Riker,82,225,1950,,,
Ron Riley,80,194,1950,,,
Frank Russell,75,179,1949,,,
Frank Schade,73,170,1950,,,
Sam Sibert,79,214,1949,,,
Bud Stallworth,77,190,1950,,,
Paul Stovall,76,214,1948,,,
Chuck Terry,78,214,1950,,,
Justus Thigpen,73,159,1947,,,
John Tschogl,78,205,1950,,,
Paul Westphal,76,194,1950,,,
Harthorne Wingo,78,209,1947,,,
Joby Wright,80,218,1950,,,
Mike Bantom,81,198,1951,,,
Ron Behagen,81,183,1951,,,
Dennis Bell,77,183,1951,,,
Jim Brewer,81,209,1951,,,
Allan Bristow,79,209,1951,,,
John Brown,79,218,1951,,,
Larry Cannon,76,194,1947,,,
Bill Chamberlain,78,187,1949,,,
Ken Charles,75,179,1951,,,
E.C. Coleman,75,179,1951,,,
Doug Collins,78,179,1951,,,
Mike D'Antoni,75,183,1951,,,
Mel Davis,78,218,1950,,,
Derrek Dickey,79,216,1951,,,
Ernie DiGregorio,72,179,1951,,,
Steve Downing,80,225,1950,,,
Rod Freeman,79,225,1950,,,
Bernie Fryer,75,183,1949,,,
Jim Garvin,79,198,1950,,,
Phil Hankinson,80,194,1951,,,
Nate Hawthorne,76,190,1950,,,
Tom Ingelsby,75,179,1951,,,
Dwight Jones,82,209,1952,,,
Ben Kelso,75,194,1949,,,
Tom Kozelko,80,218,1951,,,
Kevin Kunnert,84,229,1951,,,
Mike Macaluso,77,209,1951,,,
Ted Manakas,74,179,1951,,,
Vester Marshall,79,198,1948,,,
Allie McGuire,74,179,1928,,,
Larry McNeill,81,194,1951,,,
Gary Melchionni,74,183,1951,,,
Louie Nelson,75,190,1951,,,
Jim Owens,77,198,1950,,,
Ed Ratleff,78,194,1950,,,
Joe Reaves,77,209,1950,,,
Mark Sibley,74,174,1950,,,
Bob Verga,73,190,1945,,,
Kermit Washington,80,229,1951,,,
Slick Watts,73,174,1951,,,
Nick Weatherspoon,79,194,1950,,,
Luke Witte,84,234,1950,,,
Dan Anderson,82,229,1943,,,
Jim Ard,80,214,1948,,,
Gus Bailey,77,183,1951,,,
Leon Benbow,76,183,1950,,,
Ken Boyd,77,194,1952,,,
Gary Brokaw,76,176,1954,,,
Tom Burleson,86,225,1952,,,
Harvey Catchings,81,216,1951,,,
Jim Chones,83,218,1949,,,
Ben Clyde,79,196,1951,,,
Jesse Dark,77,209,1951,,,
Rod Derline,72,174,1952,,,
John Drew,78,203,1954,,,
Dennis DuVal,75,174,1952,,,
Al Eberhard,78,225,1952,,,
Leonard Gray,80,238,1951,,,
Bernie Harris,82,198,1950,,,
Steve Hawes,81,218,1950,,,
Tom Henderson,75,190,1952,,,
Greg Jackson,72,179,1952,,,
Wardell Jackson,79,198,1951,,,
Aaron James,80,209,1952,,,
Mickey Johnson,82,190,1952,,,
Jimmy Jones,76,187,1945,,,
Frank Kendrick,78,196,1950,,,
Len Kosmalski,84,245,1951,,,
Bill Ligon,76,179,1952,,,
Phil Lumpkin,72,163,1951,,,
Glenn McDonald,78,190,1952,,,
Eric Money,72,170,1955,,,
Connie Norman,75,174,1953,,,
Kevin Restani,81,225,1951,,,
Truck Robinson,79,225,1951,,,
Campy Russell,77,216,1944,,,
Fred Saunders,79,209,1951,,,
Tal Skinner,77,194,1952,,,
Don Smith,74,190,1920,,,
Phil Smith,76,183,1952,,,
Mike Sojourner,81,225,1953,,,
Kevin Stacom,75,183,1951,,,
George Thompson,74,198,1947,,,
Dean Tolson,80,190,1951,,,
Foots Walker,72,183,1951,,,
Bill Walton,83,209,1952,,,
Perry Warbington,74,163,1952,,,
Stan Washington,76,190,1952,,,
Scott Wedman,79,214,1952,,,
Owen Wells,79,198,1950,,,
Jamaal Wilkes,78,190,1953,,,
Earl Williams,79,229,1951,,,
Bobby Wilson,76,183,1926,,,
Brian Winters,76,183,1952,,,
Alvan Adams,81,209,1954,,,
Jerome Anderson,77,194,1953,,,
Jerry Baskerville,79,190,1951,,,
Bob Bigelow,79,214,1953,,,
Tom Boswell,81,218,1953,,,
Junior Bridgeman,77,209,1953,,,
Joe Bryant,81,183,1954,,,
Al Carlson,83,234,1951,,,
Jim Creighton,80,198,1950,,,
Darryl Dawkins,83,249,1957,,,
Henry Dickerson,76,190,1951,,,
Eric Fernsten,82,203,1953,,,
Larry Fogle,77,203,1953,,,
Don Ford,81,214,1952,,,
World B.,81,214,1952,,,
Donnie Freeman,75,183,1944,,,
Kevin Grevey,77,209,1953,,,
Bob Gross,78,198,1953,,,
Lindsay Hairston,79,179,1951,,,
Glenn Hansen,76,203,1952,,,
Robert Hawkins,76,190,1954,,,
Wilbur Holland,72,174,1951,,,
Lionel Hollins,75,183,1953,,,
Steve Jones,77,203,1942,,,
Rich Kelley,84,234,1953,,,
Tom Kropp,75,203,1953,,,
C.J. Kupec,75,203,1953,,,
John Lambert,82,225,1953,,,
John Laskowski,78,183,1953,,,
Greg Lee,75,190,1951,,,
Clyde Mayes,80,225,1953,,,
Ken Mayfield,74,183,1948,,,
Jim McElroy,75,190,1953,,,
George McGinnis,80,234,1950,,,
Tom McMillen,83,214,1952,,,
Joe Meriweather,82,214,1953,,,
Dave Meyers,80,214,1953,,,
Frank Oleynick,74,183,1955,,,
Cliff Pondexter,81,231,1954,,,
Bill Robinzine,79,229,1953,,,
John Roche,75,170,1949,,,
Bruce Seals,80,209,1953,,,
Ed Searcy,78,209,1952,,,
Gene Short,78,198,1953,,,
John Shumate,81,234,1952,,,
Ricky Sobers,75,196,1953,,,
Terry Thomas,80,218,1953,,,
Rudy White,74,194,1953,,,
Gus Williams,74,174,1953,,,
Bill Willoughby,80,203,1957,,,
Tom Abernethy,79,218,1954,,,
Bird Averitt,73,170,1952,,,
Tom Barker,83,225,1955,,,
Marvin Barnes,80,209,1952,,,
Norton Barnhill,76,203,1953,,,
Mike Barr,75,179,1950,,,
Tim Bassett,80,225,1951,,,
Byron Beck,81,225,1945,,,
Mel Bennett,79,198,1955,,,
Ron Boone,74,198,1946,,,
Quinn Buckner,75,190,1954,,,
Ticky Burden,74,183,1953,,,
Don Buse,76,190,1950,,,
Mack Calvin,72,163,1947,,,
M.L. Carr,72,163,1947,,,
Cornelius Cash,80,214,1952,,,
Norm Cook,80,209,1955,,,
Louie Dampier,72,170,1944,,,
Mel Daniels,81,218,1944,,,
Adrian Dantley,77,207,1956,,,
Johnny Davis,74,170,1955,,,
Ron Davis,78,196,1954,,,
Randy Denton,82,238,1949,,,
Coby Dietrick,82,218,1948,,,
Leon Douglas,82,229,1954,,,
Mike Dunleavy,75,179,1954,,,
Jim Eakins,83,214,1946,,,
Len Elmore,81,218,1952,,,
Darrell Elston,76,190,1952,,,
Alex English,79,190,1954,,,
Julius Erving,79,209,1950,,,
Butch Feher,76,183,1954,,,
Mike Flynn,74,179,1953,,,
Terry Furlow,76,190,1954,,,
Mike Gale,76,183,1950,,,
Gus Gerard,80,198,1953,,,
George Gervin,79,179,1952,,,
Artis Gilmore,86,238,1949,,,
Mike Green,82,198,1951,,,
Steve Green,79,218,1953,,,
Paul Griffin,81,203,1954,,,
Rudy Hackett,81,209,1953,,,
Phil Hicks,79,203,1953,,,
Armond Hill,76,190,1953,,,
Darnell Hillman,81,214,1949,,,
Mo Howard,74,170,1954,,,
Kim Hughes,83,218,1952,,,
Dan Issel,81,234,1948,,,
Dennis Johnson,76,183,1954,,,
Bobby Jones,81,209,1951,,,
Caldwell Jones,83,216,1950,,,
Rich Jones,78,218,1946,,,
Robin Jones,81,225,1954,,,
Wil Jones,75,183,1936,,,
George Karl,75,183,1952,,,
Goo Kennedy,77,203,1949,,,
Larry Kenon,81,203,1952,,,
Billy Knight,78,194,1952,,,
Mitch Kupchak,81,229,1954,,,
Bo Lamar,73,179,1951,,,
Ron Lee,76,192,1952,,,
Scott Lloyd,82,229,1952,,,
John Lucas,75,174,1953,,,
Maurice Lucas,81,214,1952,,,
Moses Malone,82,214,1955,,,
Scott May,79,214,1954,,,
Andre McCarter,75,190,1953,,,
Ted McClain,73,179,1946,,,
Allen Murphy,77,190,1952,,,
Swen Nater,83,238,1950,,,
Johnny Neumann,78,198,1951,,,
Mark Olberding,80,225,1956,,,
Tom Owens,82,214,1949,,,
Joe Pace,82,218,1953,,,
Robert Parish,84,229,1953,,,
Sonny Parker,78,198,1955,,,
Billy Paultz,83,234,1948,,,
Marv Roberts,80,198,1950,,,
Dave Robisch,82,234,1949,,,
Marshall Rogers,73,190,1953,,,
Dan Roundfield,80,203,1953,,,
Phil Sellers,76,194,1953,,,
Lonnie Shelton,80,238,1955,,,
James Silas,73,179,1949,,,
Ralph Simpson,77,198,1949,,,
Al Skinner,75,190,1952,,,
Willie Smith,84,218,1949,,,
Keith Starr,78,190,1954,,,
Earl Tatum,77,183,1953,,,
Brian Taylor,74,183,1951,,,
Fatty Taylor,72,174,1946,,,
Ira Terrell,80,198,1954,,,
Claude Terry,76,194,1950,,,
David Thompson,76,194,1954,,,
Monte Towe,67,150,1953,,,
Dave Twardzik,73,174,1950,,,
Jan Van,73,174,1950,,,
Andy Walker,76,190,1955,,,
Wally Walker,79,190,1954,,,
Lloyd Walton,72,159,1953,,,
Henry Ward,76,194,1952,,,
Richard Washington,83,218,1955,,,
Marvin Webster,85,225,1952,,,
Bob Wilkerson,78,194,1954,,,
Chuck Williams,72,163,1943,,,
Chuckie Williams,72,163,1943,,,
John Williamson,74,183,1951,,,
Willie Wise,77,209,1947,,,
Larry Wright,73,159,1954,,,
Tate Armstrong,75,174,1955,,,
Greg Ballard,79,214,1955,,,
Kent Benson,82,234,1954,,,
Otis Birdsong,75,190,1955,,,
Phil Bond,74,174,1954,,,
Jim Bostic,79,225,1953,,,
Alonzo Bradley,78,190,1953,,,
Mike Bratz,74,183,1955,,,
Wayman Britt,74,183,1952,,,
Kenny Carr,79,218,1955,,,
Bob Carrington,78,194,1953,,,
Wesley Cox,78,214,1955,,,
Charlie Criss,68,163,1948,,,
Mark Crow,79,209,1954,,,
Brad Davis,75,179,1955,,,
Walter Davis,80,203,1931,,,
Jacky Dorsey,79,229,1954,,,
T.R. Dunn,79,229,1954,,,
James Edwards,84,225,1955,,,
Bo Ellis,77,183,1936,,,
Al Fleming,79,214,1954,,,
Bayard Forrest,82,234,1954,,,
Mike Glenn,74,174,1955,,,
Glen Gondrezick,78,216,1955,,,
Rickey Green,72,170,1954,,,
Greg Griffin,79,190,1952,,,
Ernie Grunfeld,78,209,1955,,,
Joe Hassett,77,179,1955,,,
Eddie Johnson,80,203,1944,,,
Larry Johnson,75,203,1954,,,
Marques Johnson,79,216,1956,,,
Eddie Jordan,73,170,1955,,,
Bernard King,79,203,1956,,,
Toby Knight,81,209,1955,,,
John Kuester,74,179,1955,,,
Tom LaGarde,82,218,1955,,,
Mark Landsberger,80,214,1955,,,
Rich Laurel,78,190,1954,,,
Ricky Marsh,75,198,1954,,,
Cedric Maxwell,80,203,1955,,,
Larry Moffett,80,209,1954,,,
Glenn Mosley,80,194,1955,,,
Norm Nixon,74,170,1955,,,
Eddie Owens,79,209,1953,,,
Ben Poquette,81,234,1955,,,
Robert Reid,80,203,1955,,,
Anthony Roberts,77,183,1955,,,
Tony Robertson,76,194,1956,,,
Tree Rollins,85,234,1955,,,
Alvin Scott,79,183,1955,,,
Steve Sheppard,78,214,1954,,,
Jack Sikma,83,229,1955,,,
Scott Sims,73,170,1955,,,
Robert Smith,71,163,1955,,,
Phil Walker,75,179,1956,,,
Wilson Washington,81,225,1955,,,
Ray Williams,75,187,1954,,,
Kim Anderson,79,198,1955,,,
Del Beshore,71,163,1956,,,
Dennis Boyd,73,174,1954,,,
Winford Boynes,78,183,1957,,,
Ron Brewer,76,179,1955,,,
Greg Bunch,78,190,1956,,,
Marty Byrnes,79,214,1956,,,
Ron Carter,77,190,1956,,,
Maurice Cheeks,73,179,1956,,,
Michael Cooper,77,170,1956,,,
Wayne Cooper,82,218,1956,,,
Dave Corzine,83,249,1956,,,
Geoff Crompton,83,280,1955,,,
Harry Davis,79,218,1956,,,
Bob Elliott,81,225,1955,,,
Ray Epps,78,194,1956,,,
Phil Ford,74,174,1956,,,
Jack Givens,77,203,1956,,,
Tommie Green,74,183,1956,,,
Lars Hansen,82,225,1954,,,
James Hardy,80,218,1956,,,
Keith Herron,78,194,1956,,,
Kenny Higgs,72,179,1955,,,
Essie Hollis,78,194,1955,,,
Otis Howard,79,218,1956,,,
Clemon Johnson,82,238,1956,,,
Jeff Judkins,78,183,1956,,,
Joel Kramer,79,203,1955,,,
Butch Lee,72,183,1956,,,
John Long,77,194,1956,,,
Billy McKinney,72,159,1955,,,
Mike Mitchell,79,214,1956,,,
John Olive,79,209,1955,,,
Roger Phegley,78,203,1956,,,
Stan Pietkiewicz,77,198,1956,,,
Wayne Radford,75,203,1956,,,
Marlon Redmond,78,187,1955,,,
Micheal Ray,78,187,1955,,,
Rick Robey,83,229,1956,,,
Jackie Robinson,78,209,1955,,,
John Rudd,79,229,1955,,,
Frankie Sanders,78,198,1957,,,
Purvis Short,79,209,1957,,,
Sam Smith,79,229,1944,,,
Reggie Theus,79,190,1957,,,
Mychal Thompson,82,225,1955,,,
Raymond Townsend,75,174,1955,,,
Terry Tyler,79,214,1956,,,
Andre Wakefield,75,174,1955,,,
Jerome Whitehead,82,218,1956,,,
Freeman Williams,76,190,1956,,,
Rick Wilson,77,198,1956,,,
James Bailey,81,218,1957,1980,1988,F
Billy Ray,81,218,1957,,,
Larry Bird,81,218,1956,1980,1992,F
Lawrence Boston,80,225,1956,1980,1980,F
Dudley Bradley,78,194,1957,1980,1989,G
Bill Cartwright,85,245,1957,1980,1995,C
Jeff Cook,82,214,1956,1980,1988,F
Hollis Copeland,78,179,1955,1980,1982,F
John Coughran,79,225,1951,1980,1980,F
Terry Crosby,76,194,1957,1980,1980,G
Pat Cummings,81,229,1956,1980,1991,F
Paul Dawkins,77,190,1957,1980,1980,F
Greg Deane,76,190,1957,1980,1980,G
Larry Demic,81,225,1957,1980,1982,F
Terry Duerod,74,179,1956,1980,1983,G
Earl Evans,80,201,1955,1980,1980,F
Mike Evans,73,170,1955,1980,1988,G
Gary Garland,76,179,1957,1980,1980,G
Dave Greenwood,81,220,1957,1980,1991,F
Roy Hamilton,74,179,1957,1980,1981,G
Gerald Henderson,74,174,1956,1980,1992,G
Johnny High,75,183,1957,1980,1984,G
Brad Holland,75,179,1956,1980,1982,G
Phil Hubbard,80,214,1956,1980,1989,F
Geoff Huston,74,174,1957,1980,1987,G
Abdul Jeelani,80,209,1954,1980,1981,F
Cheese Johnson,72,170,1949,,,
Magic Johnson,79,216,1956,,,
Vinnie Johnson,74,198,1956,1980,1992,G
Major Jones,81,225,1953,1980,1985,F
Greg Kelser,79,190,1957,1980,1985,F
Irv Kiffin,81,225,1951,1980,1980,F
Carl Kilpatrick,82,229,1956,1980,1980,C
Reggie King,78,225,1957,1980,1985,F
Arvid Kramer,81,218,1956,1980,1980,C
Allen Leavell,73,170,1957,1980,1989,G
Ollie Mack,75,183,1957,1980,1982,G
Steve Malovic,82,229,1956,1980,1980,F
Paul Mokeski,84,249,1957,1980,1991,C
Sidney Moncrief,75,179,1957,1980,1991,G
Calvin Natt,78,218,1957,1980,1990,F
Sylvester Norris,83,218,1957,1980,1980,C
Wiley Peck,79,218,1957,1980,1980,G
Sam Pellom,81,225,1951,1980,1983,F
Clint Richardson,75,194,1956,1980,1987,G
Cliff Robinson,81,218,1960,1980,1992,F
Jim Spanarkel,77,190,1957,1980,1984,G
Bernard Toone,81,209,1956,1980,1980,F
Duck Williams,74,179,1956,1980,1980,G
Sly Williams,79,209,1958,1980,1986,F
Bubba Wilson,75,174,1955,1980,1980,G
Tony Zeno,80,209,1957,1980,1980,F
Darrell Allums,81,218,1958,1981,1981,F
Norman Black,77,183,1957,1981,1981,G
Dave Britton,76,179,1958,1981,1981,G
Michael Brooks,79,218,1958,1981,1988,F
Lewis Brown,75,190,1919,,,
Rickey Brown,82,214,1958,1981,1985,C
Joe Barry,76,194,1969,,,
Butch Carter,77,179,1958,1981,1986,G
Reggie Carter,75,174,1957,1981,1982,G
Art Collins,76,183,1954,1981,1981,G
Don Collins,78,179,1951,1981,1987,F
Darwin Cook,75,183,1958,1981,1989,G
Earl Cureton,81,209,1957,1981,1997,F
Monti Davis,79,203,1958,1981,1981,F
James Donaldson,86,273,1957,1981,1995,C
Larry Drew,73,170,1958,1981,1991,G
Ralph Drollinger,86,249,1954,1981,1981,C
John Duren,75,194,1958,1981,1983,G
Tony Fuller,76,179,1958,1981,1981,G
Calvin Garrett,79,190,1956,1981,1984,F
Mike Gminski,83,249,1959,1981,1994,C
Darrell Griffith,76,190,1958,1981,1991,G
Bill Hanzlik,79,183,1957,1981,1990,G
Alan Hardy,79,194,1957,1981,1982,F
Mike Harper,82,194,1957,1981,1982,C
Cedrick Hordges,80,218,1957,1981,1982,F
Tony Jackson,76,198,1942,,,
Lee Johnson,83,203,1957,1981,1981,F
Reggie Johnson,81,203,1957,1981,1984,F
Edgar Jones,82,225,1956,1981,1986,F
Walter Jordan,79,196,1956,1981,1981,F
Clarence Kea,78,216,1959,1981,1982,F
Chad Kinch,76,190,1958,1981,1981,G
Wayne Kreklow,76,174,1957,1981,1981,G
Bill Laimbeer,83,245,1957,1981,1994,C
Edmund Lawrence,84,227,1952,1981,1981,C
Ronnie Lester,74,174,1959,1981,1986,G
Kyle Macy,75,174,1957,1981,1987,G
Rick Mahorn,82,238,1958,1981,1999,C
Wes Matthews,73,170,1959,1981,1990,G
Bill Mayfield,79,203,1957,1981,1981,F
Keith McCord,79,209,1957,1981,1981,G
Kevin McHale,82,209,1957,1981,1993,F
Dick Miller,78,214,1958,1981,1981,F
Johnny Moore,73,174,1958,1981,1990,G
Lowes Moore,73,170,1957,1981,1983,G
Kenny Natt,75,183,1958,1981,1985,G
Carl Nicks,73,174,1958,1981,1983,G
Mike Niles,78,225,1955,1981,1981,F
Mike O'Koren,79,205,1958,1981,1988,F
Jawann Oldham,84,214,1957,1981,1991,C
Louis Orr,80,174,1958,1981,1988,F
Myles Patrick,80,218,1954,1981,1981,F
Tony Price,78,190,1957,1981,1981,G
Wally Rank,78,218,1958,1981,1981,F
Kelvin Ransey,73,170,1958,1981,1986,G
James Ray,80,214,1957,1981,1983,F
Billy Reid,77,190,1957,1981,1981,G
Wayne Robinson,80,216,1958,1981,1981,F
Lorenzo Romar,73,174,1958,1981,1985,G
DeWayne Scales,80,207,1958,1981,1984,F
Craig Shelton,79,209,1957,1981,1982,F
Jerry Sichting,73,168,1956,1981,1990,G
Larry Smith,80,214,1958,1981,1993,F
Rory Sparrow,74,174,1958,1981,1992,G
John Stroud,79,214,1957,1981,1981,F
Carlos Terry,77,209,1956,1981,1983,G
Andrew Toney,75,176,1957,1981,1988,G
Ronnie Valentine,79,209,1957,1981,1981,F
Kiki Vandeweghe,80,218,1958,1981,1993,F
Brett Vroman,84,218,1955,1981,1981,C
Hawkeye Whitney,79,229,1939,,,
Michael Wiley,81,198,1957,1981,1982,F
James Wilkes,78,190,1953,,,
Jeff Wilkins,83,229,1955,1981,1986,C
Mike Woodson,77,194,1958,1981,1991,G
Sam Worthen,77,194,1958,1981,1982,G
Mark Aguirre,78,231,1959,1982,1994,F
Danny Ainge,76,174,1959,1982,1995,G
Carl Bailey,84,209,1958,1982,1982,C
Gene Banks,79,214,1959,1982,1987,F
Rolando Blackman,78,190,1959,1982,1994,G
Ray Blume,76,183,1958,1982,1982,G
Alex Bradley,78,190,1953,1982,1982,F
Charles Bradley,77,214,1959,1982,1984,G
Brad Branson,82,218,1958,1982,1983,C
Jim Brogan,76,183,1958,1982,1983,G
Roger Burkman,77,174,1958,1982,1982,G
David Burns,74,179,1958,1982,1982,G
Bobby Cattage,81,249,1958,1982,1986,F
Tom Chambers,82,218,1959,1982,1998,F
Joe Cooper,82,229,1957,1982,1985,C
Charles Davis,74,159,1949,,,
Kenny Dennard,80,218,1958,1982,1984,F
Mickey Dillard,75,170,1958,1982,1982,G
John Douglas,74,170,1956,1982,1983,G
Craig Dykema,80,190,1959,1982,1982,F
Franklin Edwards,73,170,1959,1982,1988,G
Petur Gudmundsson,86,258,1958,1982,1989,C
Glenn Hagan,72,170,1955,1982,1982,G
Steve Hayes,84,203,1955,1982,1986,C
Tracy Jackson,78,203,1959,1982,1984,G
Clay Johnson,82,238,1956,,,
Frank Johnson,73,183,1958,1982,1994,G
Steve Johnson,80,218,1944,,,
Albert King,78,190,1959,1982,1992,F
Jeff Lamp,78,194,1959,1982,1989,F
Rock Lee,76,192,1952,,,
Alton Lister,84,238,1958,1982,1998,C
Lewis Lloyd,78,203,1959,1982,1990,G
Kevin Loder,78,203,1959,1982,1984,F
Rudy Macklin,79,203,1958,1982,1984,F
John McCullough,76,190,1956,1982,1982,G
Hank McDowell,81,214,1959,1982,1987,F
Mike McGee,77,190,1959,1982,1990,G
Kevin McKenna,77,194,1959,1982,1988,G
Larry Nance,82,203,1959,1982,1994,F
Kurt Nimphius,82,216,1958,1982,1990,C
