name,year_start,year_end,position,height,height(inches),weight,birth_date,college
Terry Duerod,1980,1983,G,2-Jun,74,180,29-Jul-56,University of Detroit Mercy
Chris Duhon,2005,2013,G,1-Jun,73,185,31-Aug-82,Duke University
Duje Dukan,2016,2016,F,9-Jun,81,220,4-Dec-91,University of Wisconsin
Joe Dumars,1986,1999,G,3-Jun,75,190,24-May-63,McNeese State University
Richard Dumas,1993,1996,F,7-Jun,79,200,19-May-69,Oklahoma State University
Tony Dumas,1995,1998,G,6-Jun,78,190,25-Aug-72,University of Missouri-Kansas City
Tim Duncan,1998,2016,F,11-Jun,83,250,25-Apr-76,Wake Forest University
Mike Dunleavy,2003,2017,F,9-Jun,81,230,15-Sep-80,Duke University
Kris Dunn,2017,2018,G,4-Jun,76,210,18-Mar-94,Providence College
Ronald Dupree,2004,2011,F,7-Jun,79,209,26-Jan-81,Louisiana State University
Kevin Durant,2008,2018,F,9-Jun,81,240,29-Sep-88,University of Texas at Austin
John Duren,1981,1983,G,3-Jun,75,195,30-Oct-58,Georgetown University
Pat Durham,1993,1995,F,7-Jun,79,210,10-Mar-67,Colorado State University
Devin Durrant,1985,1986,F,7-Jun,79,200,20-Oct-60,Brigham Young University
Craig Dykema,1982,1982,F,8-Jun,80,190,11-Jun-59,"California State University, Long Beach"
Jerome Dyson,2012,2012,G,3-Jun,75,180,1-May-87,University of Connecticut
Ledell Eackles,1989,1998,G,5-Jun,77,220,24-Nov-66,University of New Orleans
Acie Earl,1994,1997,F,10-Jun,82,240,23-Jun-70,University of Iowa
Cleanthony Early,2015,2016,F,8-Jun,80,210,17-Apr-91,Wichita State University
Mark Eaton,1983,1993,C,4-Jul,88,275,24-Jan-57,"University of California, Los Angeles"
Jerry Eaves,1983,1987,G,4-Jun,76,180,8-Feb-59,University of Louisville
Devin Ebanks,2011,2013,F,9-Jun,81,215,28-Oct-89,West Virginia University
Ndudi Ebi,2004,2005,F,9-Jun,81,200,18-Jun-84,
Jarell Eddie,2016,2017,G,7-Jun,79,218,30-Oct-91,Virginia Polytechnic Institute and State University
Patrick Eddie,1992,1992,C,11-Jun,83,240,27-Dec-67,University of Mississippi
Kenton Edelin,1985,1985,F,8-Jun,80,205,24-May-62,University of Virginia
Keith Edmonson,1983,1984,G,5-Jun,77,195,28-Sep-60,Purdue University
Tyus Edney,1996,2001,G,10-May,70,152,14-Feb-73,"University of California, Los Angeles"
Bill Edwards,1994,1994,F,8-Jun,80,215,22-Sep-71,Wright State University
Blue Edwards,1990,1999,G,4-Jun,76,200,31-Oct-65,East Carolina University
Corsley Edwards,2005,2005,F,9-Jun,81,275,5-Mar-79,Central Connecticut State University
Doug Edwards,1994,1996,F,7-Jun,79,220,21-Jan-71,Florida State University
Franklin Edwards,1982,1988,G,1-Jun,73,170,2-Feb-59,Cleveland State University
Jay Edwards,1990,1990,G,4-Jun,76,185,3-Jan-69,Indiana University
John Edwards,2005,2006,C,Jul-00,84,275,31-Jul-81,Kent State University
Kevin Edwards,1989,2001,G,3-Jun,75,190,30-Oct-65,DePaul University
Shane Edwards,2014,2014,F,7-Jun,79,220,31-May-87,University of Arkansas at Little Rock
Craig Ehlo,1984,1997,G,6-Jun,78,180,11-Aug-61,Washington State University
Howard Eisley,1995,2006,G,2-Jun,74,177,4-Dec-72,Boston College
Obinna Ekezie,2000,2005,F,9-Jun,81,270,22-Aug-75,University of Maryland
Khalid El-Amin,2001,2001,G,10-May,70,200,25-Apr-79,University of Connecticut
Mario Elie,1991,2001,G,5-Jun,77,210,26-Nov-63,American International College
Henry Ellenson,2017,2018,F,11-Jun,83,245,13-Jan-97,Marquette University
Wayne Ellington,2010,2018,G,4-Jun,76,200,29-Oct-87,University of North Carolina
Sean Elliott,1990,2001,F,8-Jun,80,205,2-Feb-68,University of Arizona
Dale Ellis,1984,2000,G,7-Jun,79,205,6-Aug-60,University of Tennessee
Harold Ellis,1994,1998,G,5-Jun,77,200,7-Oct-70,Morehouse College
LaPhonso Ellis,1993,2003,F,8-Jun,80,240,5-May-70,University of Notre Dame
LeRon Ellis,1992,1996,F,9-Jun,81,225,28-Apr-69,Syracuse University
Monta Ellis,2006,2017,G,3-Jun,75,185,26-Oct-85,
Pervis Ellison,1990,2001,F,9-Jun,81,210,3-Apr-67,University of Louisville
Francisco Elson,2004,2012,C,Jul-00,84,235,28-Feb-76,University of California
Melvin Ely,2003,2014,C,10-Jun,82,260,2-May-78,"California State University, Fresno"
Joel Embiid,2017,2018,C,Jul-00,84,250,16-Mar-94,University of Kansas
Andre Emmett,2005,2012,F,5-Jun,77,230,27-Aug-82,Texas Tech University
Chris Engler,1983,1988,C,11-Jun,83,245,1-Mar-59,University of Wyoming
Wayne Englestad,1989,1989,F,8-Jun,80,245,6-Dec-66,"University of California, Irvine"
A.J. English,1991,1992,G,3-Jun,75,175,11-Jul-67,Virginia Union University
Jo Jo English,1993,1995,G,4-Jun,76,195,4-Feb-70,University of South Carolina
Kim English,2013,2013,G,6-Jun,78,200,24-Sep-88,University of Missouri
James Ennis,2015,2018,F,7-Jun,79,210,1-Jul-90,"California State University, Long Beach"
Tyler Ennis,2015,2018,G,3-Jun,75,194,24-Aug-94,Syracuse University
Semih Erden,2011,2012,C,Jul-00,84,240,28-Jul-86,
Evan Eschmeyer,2000,2003,C,11-Jun,83,255,30-May-75,Northwestern University
Vincenzo Esposito,1996,1996,G,3-Jun,75,198,3-Jan-69,
Brian Evans,1997,1999,F,8-Jun,80,220,13-Sep-73,Indiana University
Earl Evans,1980,1980,F,8-Jun,80,202,11-Nov-55,"University of Nevada, Las Vegas"
Jawun Evans,2018,2018,G,Jun-00,72,185,26-Jul-96,Oklahoma State University
Jeremy Evans,2011,2016,F,9-Jun,81,200,24-Oct-87,Western Kentucky University
Maurice Evans,2002,2012,G,5-Jun,77,220,8-Nov-78,University of Texas at Austin
Mike Evans,1980,1988,G,1-Jun,73,170,19-Apr-55,Kansas State University
Reggie Evans,2003,2015,F,8-Jun,80,245,18-May-80,University of Iowa
Tyreke Evans,2010,2018,G,6-Jun,78,220,19-Sep-89,University of Memphis
Daniel Ewing,2006,2007,G,3-Jun,75,185,26-Mar-83,Duke University
Patrick Ewing,1986,2002,C,Jul-00,84,240,5-Aug-62,Georgetown University
Dante Exum,2015,2017,G,6-Jun,78,190,13-Jul-95,
Christian Eyenga,2011,2012,F,5-Jun,77,210,22-Jun-89,
Festus Ezeli,2013,2016,C,11-Jun,83,255,21-Oct-89,Vanderbilt University
Kenneth Faried,2012,2018,F,8-Jun,80,228,19-Nov-89,Morehead State University
Jordan Farmar,2007,2017,G,2-Jun,74,180,30-Nov-86,"University of California, Los Angeles"
Desmon Farmer,2007,2009,G,5-Jun,77,220,7-Oct-81,University of Southern California
Jim Farmer,1988,1994,G,4-Jun,76,190,23-Sep-64,University of Alabama
Tony Farmer,1998,2000,F,9-Jun,81,244,3-Jan-70,University of Nebraska
Vitor Faverani,2014,2014,C,11-Jun,83,260,5-May-88,
Derrick Favors,2011,2018,F,10-Jun,82,265,15-Jul-91,Georgia Institute of Technology
Nick Fazekas,2008,2008,F,11-Jun,83,235,17-Jun-85,"University of Nevada, Reno"
Jamie Feick,1997,2001,C,9-Jun,81,255,3-Jul-74,Michigan State University
Dave Feitl,1987,1992,C,11-Jun,83,235,8-Jun-62,University of Texas at El Paso
Kay Felder,2017,2018,G,9-May,69,176,29-Mar-95,Oakland University
Cristiano Felicio,2016,2018,F,10-Jun,82,275,7-Jul-92,
Carrick Felix,2014,2014,G,6-Jun,78,201,17-Aug-90,Arizona State University
Noel Felix,2006,2006,F,9-Jun,81,225,4-Oct-81,"California State University, Fresno"
Raymond Felton,2006,2018,G,1-Jun,73,205,26-Jun-84,University of North Carolina
Desmond Ferguson,2004,2004,G,7-Jun,79,203,22-Jul-77,University of Detroit Mercy
Terrance Ferguson,2018,2018,G,7-Jun,79,184,17-May-98,
Rudy Fernandez,2009,2012,G,6-Jun,78,185,4-Apr-85,
Rolando Ferreira,1989,1989,C,1-Jul,85,240,24-May-64,University of Houston
Duane Ferrell,1989,1999,F,7-Jun,79,209,28-Feb-65,Georgia Institute of Technology
Yogi Ferrell,2017,2018,G,Jun-00,72,180,9-May-93,Indiana University
Danny Ferry,1991,2003,F,10-Jun,82,230,17-Oct-66,Duke University
Kyrylo Fesenko,2008,2012,C,1-Jul,85,288,24-Dec-86,
Kenny Fields,1985,1988,F,5-Jun,77,220,9-Feb-62,"University of California, Los Angeles"
Landry Fields,2011,2015,F,7-Jun,79,210,27-Jun-88,Stanford University
Michael Finley,1996,2010,G,7-Jun,79,215,6-Mar-73,University of Wisconsin
Dorian Finney-Smith,2017,2018,F,8-Jun,80,220,4-May-93,University of Florida
Matt Fish,1995,1997,C,11-Jun,83,235,18-Nov-69,University of North Carolina at Wilmington
Derek Fisher,1997,2014,G,1-Jun,73,200,9-Aug-74,University of Arkansas at Little Rock
Gerald Fitch,2006,2006,G,3-Jun,75,188,12-Aug-82,University of Kentucky
Marcus Fizer,2001,2006,F,9-Jun,81,262,10-Aug-78,Iowa State University
Vern Fleming,1985,1996,G,5-Jun,77,185,4-Feb-62,University of Georgia
Luis Flores,2005,2005,G,2-Jun,74,200,11-Apr-81,Manhattan College
Bruce Flowers,1983,1983,F,8-Jun,80,225,13-Jun-57,University of Notre Dame
Sleepy Floyd,1983,1995,G,3-Jun,75,170,6-Mar-60,Georgetown University
Jonny Flynn,2010,2012,G,Jun-00,72,185,6-Feb-89,Syracuse University
Isaac Fontaine,2002,2002,G,4-Jun,76,210,16-Apr-75,Washington State University
Jeff Foote,2012,2012,C,Jul-00,84,265,14-Jul-87,Cornell University
Bryn Forbes,2017,2018,G,3-Jun,75,190,23-Jul-93,Michigan State University
Gary Forbes,2011,2012,F,7-Jun,79,220,25-Feb-85,University of Massachusetts Amherst
Alphonso Ford,1994,1995,G,1-Jun,73,190,31-Oct-71,Mississippi Valley State University
Alton Ford,2002,2004,F,9-Jun,81,275,29-May-81,University of Houston
Sharrod Ford,2006,2006,F,9-Jun,81,225,9-Jan-82,Clemson University
Sherell Ford,1996,1996,F,7-Jun,79,210,26-Aug-72,University of Illinois at Chicago
T.J. Ford,2004,2012,G,Jun-00,72,165,24-Mar-83,University of Texas at Austin
Joseph Forte,2002,2003,G,4-Jun,76,194,23-Mar-81,University of North Carolina
Courtney Fortson,2012,2012,G,11-May,71,185,23-May-88,University of Arkansas
Danny Fortson,1998,2007,F,7-Jun,79,260,27-Mar-76,University of Cincinnati
Greg Foster,1991,2003,F,11-Jun,83,240,3-Oct-68,University of Texas at El Paso
Jeff Foster,2000,2012,F,11-Jun,83,236,16-Jan-77,Texas State University
Rod Foster,1984,1986,G,1-Jun,73,160,10-Oct-60,"University of California, Los Angeles"
Antonis Fotsis,2002,2002,F,10-Jun,82,219,1-Apr-81,
Evan Fournier,2013,2018,G,7-Jun,79,205,29-Oct-92,
Tremaine Fowlkes,2002,2005,F,8-Jun,80,220,11-Apr-76,"California State University, Fresno"
De'Aaron Fox,2018,2018,G,3-Jun,75,170,20-Dec-97,University of Kentucky
Rick Fox,1992,2004,F,7-Jun,79,230,24-Jul-69,University of North Carolina
Randy Foye,2007,2017,G,4-Jun,76,213,24-Sep-83,Villanova University
Adonal Foyle,1998,2009,C,10-Jun,82,250,9-Mar-75,Colgate University
Richie Frahm,2004,2008,G,5-Jun,77,210,14-Aug-77,Gonzaga University
Steve Francis,2000,2008,G,3-Jun,75,195,21-Feb-77,University of Maryland
Tellis Frank,1988,1994,F,10-Jun,82,225,26-Apr-65,Western Kentucky University
Jamaal Franklin,2014,2015,G,5-Jun,77,191,21-Jul-91,San Diego State University
Tim Frazier,2015,2018,G,1-Jun,73,170,1-Nov-90,Pennsylvania State University
Anthony Frederick,1989,1992,F,7-Jun,79,205,7-Dec-64,Pepperdine University
Jimmer Fredette,2012,2016,G,2-Jun,74,195,25-Feb-89,Brigham Young University
Joel Freeland,2013,2015,F,10-Jun,82,250,7-Feb-87,
Matt Freije,2005,2007,F,10-Jun,82,240,2-Oct-81,Vanderbilt University
Channing Frye,2006,2018,C,11-Jun,83,255,17-May-83,University of Arizona
Hiram Fuller,2004,2004,F,9-Jun,81,240,15-May-81,"California State University, Fresno"
Todd Fuller,1997,2001,C,11-Jun,83,255,25-Jul-74,North Carolina State University
Tony Fuller,1981,1981,G,4-Jun,76,180,4-Sep-58,Pepperdine University
Markelle Fultz,2018,2018,G,4-Jun,76,195,29-May-98,University of Washington
Lawrence Funderburke,1998,2005,F,9-Jun,81,230,15-Dec-70,Ohio State University
Dan Gadzuric,2003,2012,C,11-Jun,83,240,2-Feb-78,"University of California, Los Angeles"
Deng Gai,2006,2006,F,9-Jun,81,250,22-Mar-82,Fairfield University
Corey Gaines,1989,1995,G,3-Jun,75,195,1-Jun-65,Loyola Marymount University
Reece Gaines,2004,2006,G,6-Jun,78,205,7-Jan-81,University of Louisville
Sundiata Gaines,2010,2012,G,1-Jun,73,185,18-Apr-86,University of Georgia
Chad Gallagher,1994,1994,C,10-Jun,82,255,30-May-69,Creighton University
Danilo Gallinari,2009,2018,F,10-Jun,82,225,8-Aug-88,
Langston Galloway,2015,2018,G,2-Jun,74,200,9-Dec-91,Saint Joseph's University
Kevin Gamble,1988,1997,F,5-Jun,77,210,13-Nov-65,University of Iowa
Jorge Garbajosa,2007,2008,F,9-Jun,81,245,19-Dec-77,
Ruben Garces,2001,2001,F,9-Jun,81,245,17-Oct-73,Providence College
Alex Garcia,2004,2005,G,3-Jun,75,220,4-Mar-80,
Francisco Garcia,2006,2015,F,7-Jun,79,195,31-Dec-81,University of Louisville
Thomas Gardner,2008,2009,G,5-Jun,77,225,8-Feb-85,University of Missouri
Patricio Garino,2017,2017,G,6-Jun,78,210,17-May-93,George Washington University
Gary Garland,1980,1980,G,4-Jun,76,180,12-Oct-57,DePaul University
Winston Garland,1988,1995,G,2-Jun,74,170,19-Dec-64,Missouri State University
Chris Garner,1998,2001,G,10-May,70,156,2-Feb-75,University of Memphis
Bill Garnett,1983,1986,F,9-Jun,81,225,22-Apr-60,University of Wyoming
Kevin Garnett,1996,2016,F,11-Jun,83,240,19-May-76,
Marlon Garnett,1999,1999,G,2-Jun,74,186,3-Jul-75,Santa Clara University
Calvin Garrett,1981,1984,F,7-Jun,79,190,11-Jul-56,Oral Roberts University
Dean Garrett,1997,2002,C,10-Jun,82,225,27-Nov-66,Indiana University
Diante Garrett,2013,2014,G,4-Jun,76,190,3-Nov-88,Iowa State University
Tom Garrick,1989,1992,G,2-Jun,74,185,7-Jul-66,University of Rhode Island
John Garris,1984,1984,F,8-Jun,80,205,6-Jun-59,Boston College
Kiwane Garris,1998,2000,G,2-Jun,74,183,24-Sep-74,University of Illinois at Urbana-Champaign
Pat Garrity,1999,2008,F,9-Jun,81,238,23-Aug-76,University of Notre Dame
Marc Gasol,2009,2018,C,1-Jul,85,255,29-Jan-85,
Pau Gasol,2002,2018,F,Jul-00,84,250,6-Jul-80,
Chris Gatling,1992,2002,F,10-Jun,82,220,3-Sep-67,Old Dominion University
Kenny Gattison,1987,1996,F,8-Jun,80,225,23-May-64,Old Dominion University
Rudy Gay,2007,2018,F,8-Jun,80,230,17-Aug-86,University of Connecticut
Andrew Gaze,1994,1999,G,7-Jun,79,205,24-Jul-65,Seton Hall University
Michael Gbinije,2017,2017,G,7-Jun,79,200,5-Jun-92,Syracuse University
Reggie Geary,1997,1998,G,2-Jun,74,187,31-Aug-73,University of Arizona
Alonzo Gee,2010,2017,G,6-Jun,78,225,29-May-87,University of Alabama
Matt Geiger,1993,2002,C,Jul-00,84,243,10-Sep-69,Georgia Institute of Technology
Mickael Gelabale,2007,2013,F,7-Jun,79,215,22-May-83,
Devean George,2000,2010,G,8-Jun,80,220,29-Aug-77,Augsburg College
Paul George,2011,2018,F,9-Jun,81,220,2-May-90,"California State University, Fresno"
Tate George,1991,1995,G,5-Jun,77,190,29-May-68,University of Connecticut
Marcus Georges-Hunt,2017,2018,G,5-Jun,77,216,28-Mar-94,Georgia Institute of Technology
Derrick Gervin,1990,1991,F,8-Jun,80,200,28-Mar-63,University of Texas at San Antonio
Daniel Gibson,2007,2013,G,2-Jun,74,190,27-Feb-86,University of Texas at Austin
Jonathan Gibson,2017,2017,G,2-Jun,74,185,8-Nov-87,New Mexico State University
Mike Gibson,1984,1986,F,10-Jun,82,205,27-Oct-60,University of South Carolina Upstate
Taj Gibson,2010,2018,F,9-Jun,81,225,24-Jun-85,University of Southern California
J.R. Giddens,2009,2010,G,5-Jun,77,215,13-Feb-85,University of New Mexico
Trey Gilder,2010,2010,F,9-Jun,81,185,24-Jan-85,Northwestern State University
Eddie Gill,2001,2009,G,Jun-00,72,190,16-Aug-78,Weber State University
Kendall Gill,1991,2005,G,5-Jun,77,195,25-May-68,University of Illinois at Urbana-Champaign
Ben Gillery,1989,1989,C,Jul-00,84,235,19-Sep-65,Georgetown University
Armen Gilliam,1988,2000,F,9-Jun,81,230,28-May-64,"University of Nevada, Las Vegas"
Manu Ginobili,2003,2018,G,6-Jun,78,205,28-Jul-77,
Gordan Giricek,2003,2008,G,6-Jun,78,210,20-Jun-77,
Mickell Gladness,2012,2012,C,11-Jun,83,220,26-Jul-86,Alabama A&M University
Gerald Glass,1991,1996,G,5-Jun,77,221,12-Nov-67,University of Mississippi
Georgi Glouchkov,1986,1986,F,8-Jun,80,235,10-Jan-60,
Dion Glover,2000,2005,G,5-Jun,77,228,22-Oct-78,Georgia Institute of Technology
Andreas Glyniadakis,2007,2007,C,1-Jul,85,280,21-Aug-81,
Mike Gminski,1981,1994,C,11-Jun,83,250,3-Aug-59,Duke University
Rudy Gobert,2014,2018,C,1-Jul,85,245,26-Jun-92,
Dan Godfread,1991,1992,C,10-Jun,82,250,14-Jun-67,University of Evansville
Anthony Goldwire,1996,2006,G,1-Jun,73,182,6-Sep-71,University of Houston
Ryan Gomes,2006,2014,F,7-Jun,79,250,1-Sep-82,Providence College
Grant Gondrezick,1987,1989,G,5-Jun,77,205,19-Jan-63,Pepperdine University
Drew Gooden,2003,2016,F,10-Jun,82,250,24-Sep-81,University of Kansas
Steve Goodrich,2001,2002,F,10-Jun,82,220,18-Mar-76,Princeton University
Archie Goodwin,2014,2017,G,5-Jun,77,200,17-Aug-94,University of Kentucky
Aaron Gordon,2015,2018,F,9-Jun,81,220,16-Sep-95,University of Arizona
Ben Gordon,2005,2015,G,3-Jun,75,200,4-Apr-83,University of Connecticut
Drew Gordon,2015,2015,F,9-Jun,81,245,12-Jul-90,University of New Mexico
Eric Gordon,2009,2018,G,4-Jun,76,215,25-Dec-88,Indiana University
Lancaster Gordon,1985,1988,G,3-Jun,75,185,24-Jun-62,University of Louisville
Marcin Gortat,2008,2018,C,11-Jun,83,240,17-Feb-84,
Andrew Goudelock,2012,2016,G,3-Jun,75,200,7-Dec-88,College of Charleston
Ricky Grace,1994,1994,G,1-Jun,73,180,20-Aug-67,University of Oklahoma
Greg Graham,1994,1998,G,4-Jun,76,174,26-Nov-70,Indiana University
Joey Graham,2006,2011,F,7-Jun,79,225,11-Jun-82,Oklahoma State University
Orlando Graham,1989,1989,F,8-Jun,80,220,5-May-65,Auburn University at Montgomery
Paul Graham,1992,1994,F,6-Jun,78,200,28-Nov-67,Ohio University
Stephen Graham,2006,2011,G,6-Jun,78,215,11-Jun-82,Oklahoma State University
Treveon Graham,2017,2018,G,6-Jun,78,220,29-Oct-93,Virginia Commonwealth University
Jim Grandholm,1991,1991,F,Jul-00,84,235,4-Oct-60,University of South Florida
Ron Grandison,1989,1996,F,6-Jun,78,215,9-Jul-64,University of New Orleans
Danny Granger,2006,2015,F,9-Jun,81,222,20-Apr-83,University of New Mexico
Stewart Granger,1984,1987,G,3-Jun,75,190,27-Oct-61,Villanova University
Brian Grant,1995,2006,F,9-Jun,81,254,5-Mar-72,Xavier University
Gary Grant,1989,2001,G,3-Jun,75,185,21-Apr-65,University of Michigan
Greg Grant,1990,1996,G,7-May,67,140,29-Aug-66,Trenton State University
Harvey Grant,1989,1999,F,8-Jun,80,195,4-Jul-65,University of Oklahoma
Horace Grant,1988,2004,F,10-Jun,82,215,4-Jul-65,Clemson University
Jerami Grant,2015,2018,F,8-Jun,80,210,12-Mar-94,Syracuse University
Jerian Grant,2016,2018,G,4-Jun,76,195,9-Oct-92,University of Notre Dame
Josh Grant,1994,1994,F,9-Jun,81,223,7-Aug-67,University of Utah
Paul Grant,1999,2004,C,Jul-00,84,245,6-Jan-74,University of Wisconsin
Butch Graves,1985,1985,G,3-Jun,75,200,5-Jan-62,Yale University
Aaron Gray,2008,2014,C,Jul-00,84,270,7-Dec-84,University of Pittsburgh
Devin Gray,1997,2000,F,7-Jun,79,240,31-May-72,Clemson University
Ed Gray,1998,1999,G,3-Jun,75,210,27-Sep-75,University of California
Evric Gray,1997,1997,F,7-Jun,79,235,13-Dec-69,"University of Nevada, Las Vegas"
Stuart Gray,1985,1991,C,Jul-00,84,235,27-May-63,"University of California, Los Angeles"
Sylvester Gray,1989,1989,F,6-Jun,78,230,8-Jul-67,University of Memphis
Jeff Grayer,1989,1998,F,5-Jun,77,200,17-Dec-65,Iowa State University
A.C. Green,1986,2001,F,9-Jun,81,220,4-Oct-63,Oregon State University
Danny Green,2010,2018,G,6-Jun,78,215,22-Jun-87,University of North Carolina
Devin Green,2006,2006,G,7-Jun,79,210,25-Oct-82,Hampton University
Draymond Green,2013,2018,F,7-Jun,79,230,4-Mar-90,Michigan State University
Erick Green,2015,2016,G,4-Jun,76,185,9-May-91,Virginia Polytechnic Institute and State University
Gerald Green,2006,2017,G,7-Jun,79,205,26-Jan-86,
JaMychal Green,2015,2018,F,9-Jun,81,227,21-Jun-90,University of Alabama
Jeff Green,2008,2018,F,9-Jun,81,235,28-Aug-86,Georgetown University
Ken Green,1986,1986,F,8-Jun,80,215,19-Sep-59,University of Texas-Pan American
Kenny Green,1986,1987,F,6-Jun,78,210,11-Oct-64,Wake Forest University
Litterial Green,1993,1999,G,1-Jun,73,185,7-Mar-70,University of Georgia
Sean Green,1992,1994,G,5-Jun,77,210,2-Feb-70,Iona College
Sidney Green,1984,1993,F,9-Jun,81,220,4-Jan-61,"University of Nevada, Las Vegas"
Taurean Green,2008,2008,G,Jun-00,72,177,28-Nov-86,University of Florida
Willie Green,2004,2015,G,4-Jun,76,200,28-Jul-81,University of Detroit Mercy
Donte Greene,2009,2012,F,11-Jun,83,226,21-Feb-88,Syracuse University
Orien Greene,2006,2011,G,4-Jun,76,208,4-Feb-82,University of Louisiana at Lafayette
Dave Greenwood,1980,1991,F,9-Jun,81,222,27-May-57,"University of California, Los Angeles"
Lynn Greer,2007,2007,G,2-Jun,74,175,23-Oct-79,Temple University
Claude Gregory,1986,1988,F,8-Jun,80,205,26-Dec-58,University of Wisconsin
John Greig,1983,1983,F,7-Jun,79,215,28-Apr-61,University of Oregon
Adrian Griffin,2000,2008,G,5-Jun,77,217,4-Jul-74,Seton Hall University
Blake Griffin,2011,2018,F,10-Jun,82,251,16-Mar-89,University of Oklahoma
Eddie Griffin,2002,2007,F,10-Jun,82,220,30-May-82,Seton Hall University
Taylor Griffin,2010,2010,F,7-Jun,79,238,18-Apr-86,University of Oklahoma
Darrell Griffith,1981,1991,G,4-Jun,76,190,16-Jun-58,University of Louisville
Derek Grimm,1998,1998,F,9-Jun,81,230,3-Aug-74,University of Missouri
Anthony Grundy,2006,2006,G,3-Jun,75,180,15-Apr-79,North Carolina State University
Petur Gudmundsson,1982,1989,C,2-Jul,86,260,30-Oct-58,University of Washington
Tom Gugliotta,1993,2005,F,10-Jun,82,240,19-Dec-69,North Carolina State University
Andres Guibert,1994,1995,F,10-Jun,82,225,28-Oct-68,
Jay Guidinger,1993,1994,C,10-Jun,82,255,18-Aug-69,University of Minnesota Duluth
Jorge Gutierrez,2014,2016,G,3-Jun,75,191,27-Dec-88,University of California
A.J. Guyton,2001,2003,G,1-Jun,73,180,12-Feb-78,Indiana University
Hamed Haddadi,2009,2013,C,2-Jul,86,254,19-May-85,
Scott Haffner,1990,1991,G,3-Jun,75,180,2-Feb-66,University of Evansville
Glenn Hagan,1982,1982,G,Jun-00,72,170,25-Jun-55,St. Bonaventure University
Malik Hairston,2009,2010,G,6-Jun,78,220,23-Feb-87,University of Oregon
P.J. Hairston,2015,2016,G,6-Jun,78,230,24-Dec-92,University of North Carolina
Marcus Haislip,2003,2010,F,10-Jun,82,230,22-Dec-80,University of Tennessee
Jack Haley,1989,1998,C,10-Jun,82,240,27-Jan-64,"University of California, Los Angeles"
Mike Hall,2007,2007,F,8-Jun,80,230,5-Jun-84,George Washington University
Darvin Ham,1997,2005,F,7-Jun,79,220,23-Jul-73,Texas Tech University
Steve Hamer,1997,1997,C,Jul-00,84,245,13-Nov-73,University of Tennessee
Daniel Hamilton,2018,2018,G,7-Jun,79,195,8-Aug-95,University of Connecticut
Jordan Hamilton,2012,2016,G,7-Jun,79,220,6-Oct-90,University of Texas at Austin
Justin Hamilton,2014,2017,C,Jul-00,84,260,1-Apr-90,Louisiana State University
Richard Hamilton,2000,2013,G,6-Jun,78,185,14-Feb-78,University of Connecticut
Roy Hamilton,1980,1981,G,2-Jun,74,180,20-Jul-57,"University of California, Los Angeles"
Tang Hamilton,2002,2002,F,8-Jun,80,220,26-May-78,Mississippi State University
Thomas Hamilton,1996,2000,C,2-Jul,86,330,3-Apr-75,University of Pittsburgh
Zendon Hamilton,2001,2006,C,11-Jun,83,250,27-Apr-75,St. John's University
Geert Hammink,1994,1996,C,Jul-00,84,262,12-Jul-69,Louisiana State University
Tom Hammonds,1990,2001,F,9-Jun,81,215,27-Mar-67,Georgia Institute of Technology
A.J. Hammons,2017,2017,C,Jul-00,84,260,27-Aug-92,Purdue University
Darrin Hancock,1995,1997,G,7-Jun,79,205,3-Nov-71,University of Kansas
Ben Handlogten,2004,2005,C,10-Jun,82,240,16-Nov-73,Western Michigan University
Ben Hansbrough,2013,2013,G,3-Jun,75,203,23-Dec-87,University of Notre Dame
Tyler Hansbrough,2010,2016,F,9-Jun,81,250,3-Nov-85,University of North Carolina
Bob Hansen,1984,1992,G,6-Jun,78,190,18-Jan-61,University of Iowa
Travis Hansen,2004,2004,G,6-Jun,78,205,15-Apr-78,Brigham Young University
Reggie Hanson,1998,1998,F,8-Jun,80,195,6-Oct-68,University of Kentucky
Bill Hanzlik,1981,1990,G,7-Jun,79,185,6-Dec-57,University of Notre Dame
Luke Harangody,2011,2012,F,8-Jun,80,246,2-Jan-88,University of Notre Dame
Anfernee Hardaway,1994,2008,G,7-Jun,79,195,18-Jul-71,University of Memphis
Tim Hardaway,1990,2003,G,Jun-00,72,175,1-Sep-66,University of Texas at El Paso
James Harden,2010,2018,G,5-Jun,77,220,26-Aug-89,Arizona State University
Alan Hardy,1981,1982,F,7-Jun,79,195,25-May-57,University of Michigan
Maurice Harkless,2013,2018,F,9-Jun,81,215,11-May-93,St. John's University
Jerome Harmon,1995,1995,G,4-Jun,76,190,6-Feb-69,University of Louisville
Derek Harper,1984,1999,G,4-Jun,76,185,13-Oct-61,University of Illinois at Urbana-Champaign
Justin Harper,2012,2017,F,10-Jun,82,225,30-Aug-89,University of Richmond
Mike Harper,1981,1982,C,10-Jun,82,195,9-Dec-57,North Park University
Ron Harper,1987,2001,G,6-Jun,78,185,20-Jan-64,Miami University
Matt Harpring,1999,2009,F,7-Jun,79,231,31-May-76,Georgia Institute of Technology
Montrezl Harrell,2016,2018,F,8-Jun,80,240,26-Jan-94,University of Louisville
Josh Harrellson,2012,2014,C,10-Jun,82,275,12-Feb-89,University of Kentucky
Adam Harrington,2003,2003,G,5-Jun,77,200,5-Jul-80,Auburn University
Al Harrington,1999,2014,F,9-Jun,81,230,17-Feb-80,
