Player,height,weight,born
Henry Bibby,185,183,1949
Freddie Boyd,188,179,1950
Steve Bracey,185,174,1950
John Brisker,196,209,1947
Roger Brown,196,203,1942
Corky Calhoun,201,209,1950
Bob Davis,201,214,1950
Dwight Davis,203,218,1949
Mickey Davis,190,183,1946
Charles Dudley,188,179,1950
Scott English,198,203,1950
Chris Ford,196,190,1949
Harold Fox,188,174,1949
Rowland Garrett,198,209,1950
John Gianelli,208,218,1950
Travis Grant,201,214,1950
Luther Green,201,190,1946
Charles Johnson,183,170,1949
Ollie Johnson,198,198,1949
Manny Leaks,203,225,1945
Russ Lee,196,183,1950
LaRue Martin,211,207,1950
Bob McAdoo,206,209,1951
Paul McCracken,193,179,1950
Eric McWilliams,203,198,1950
Mark Minor,198,214,1950
Bob Nash,203,194,1950
Lloyd Neal,201,225,1950
Tom Patterson,198,218,1948
Kevin Porter,183,170,1950
Jim Price,190,194,1949
Mike Ratliff,208,229,1951
Tom Riker,208,225,1950
Ron Riley,203,194,1950
Frank Russell,190,179,1949
Frank Schade,185,170,1950
Sam Sibert,201,214,1949
Bud Stallworth,196,190,1950
Paul Stovall,193,214,1948
Chuck Terry,198,214,1950
Justus Thigpen,185,159,1947
John Tschogl,198,205,1950
Paul Westphal,193,194,1950
Harthorne Wingo,198,209,1947
Joby Wright,203,218,1950
Mike Bantom,206,198,1951
Ron Behagen,206,183,1951
Dennis Bell,196,183,1951
Jim Brewer,206,209,1951
Allan Bristow,201,209,1951
John Brown,201,218,1951
Larry Cannon,193,194,1947
Bill Chamberlain,198,187,1949
Ken Charles,190,179,1951
E.C. Coleman,190,179,1951
Doug Collins,198,179,1951
Mike D'Antoni,190,183,1951
Mel Davis,198,218,1950
Derrek Dickey,201,216,1951
Ernie DiGregorio,183,179,1951
Steve Downing,203,225,1950
Rod Freeman,201,225,1950
Bernie Fryer,190,183,1949
Jim Garvin,201,198,1950
Phil Hankinson,203,194,1951
Nate Hawthorne,193,190,1950
Tom Ingelsby,190,179,1951
Dwight Jones,208,209,1952
Ben Kelso,190,194,1949
Tom Kozelko,203,218,1951
Kevin Kunnert,213,229,1951
Mike Macaluso,196,209,1951
Ted Manakas,188,179,1951
Vester Marshall,201,198,1948
Allie McGuire,188,179,1928
Larry McNeill,206,194,1951
Gary Melchionni,188,183,1951
Louie Nelson,190,190,1951
Jim Owens,196,198,1950
Ed Ratleff,198,194,1950
Joe Reaves,196,209,1950
Mark Sibley,188,174,1950
Bob Verga,185,190,1945
Kermit Washington,203,229,1951
Slick Watts,185,174,1951
Nick Weatherspoon,201,194,1950
Luke Witte,213,234,1950
Dan Anderson,208,229,1943
Jim Ard,203,214,1948
Gus Bailey,196,183,1951
Leon Benbow,193,183,1950
Ken Boyd,196,194,1952
Gary Brokaw,193,176,1954
Tom Burleson,218,225,1952
Harvey Catchings,206,216,1951
Jim Chones,211,218,1949
Ben Clyde,201,196,1951
Jesse Dark,196,209,1951
Rod Derline,183,174,1952
John Drew,198,203,1954
Dennis DuVal,190,174,1952
Al Eberhard,198,225,1952
Leonard Gray,203,238,1951
Bernie Harris,208,198,1950
Steve Hawes,206,218,1950
Tom Henderson,190,190,1952
Greg Jackson,183,179,1952
Wardell Jackson,201,198,1951
Aaron James,203,209,1952
Mickey Johnson,208,190,1952
Jimmy Jones,193,187,1945
Frank Kendrick,198,196,1950
Len Kosmalski,213,245,1951
Bill Ligon,193,179,1952
Phil Lumpkin,183,163,1951
Glenn McDonald,198,190,1952
Eric Money,183,170,1955
Connie Norman,190,174,1953
Kevin Restani,206,225,1951
Truck Robinson,201,225,1951
Campy Russell,196,216,1944
Fred Saunders,201,209,1951
Tal Skinner,196,194,1952
Don Smith,188,190,1920
Phil Smith,193,183,1952
Mike Sojourner,206,225,1953
Kevin Stacom,190,183,1951
George Thompson,188,198,1947
Dean Tolson,203,190,1951
Foots Walker,183,183,1951
Bill Walton,211,209,1952
Perry Warbington,188,163,1952
Stan Washington,193,190,1952
Scott Wedman,201,214,1952
Owen Wells,201,198,1950
Jamaal Wilkes,198,190,1953
Earl Williams,201,229,1951
Bobby Wilson,193,183,1926
Brian Winters,193,183,1952
Alvan Adams,206,209,1954
Jerome Anderson,196,194,1953
Jerry Baskerville,201,190,1951
Bob Bigelow,201,214,1953
Tom Boswell,206,218,1953
Junior Bridgeman,196,209,1953
Joe Bryant,206,183,1954
Al Carlson,211,234,1951
Jim Creighton,203,198,1950
Darryl Dawkins,211,249,1957
Henry Dickerson,193,190,1951
Eric Fernsten,208,203,1953
Larry Fogle,196,203,1953
Don Ford,206,214,1952
World B.,206,214,1952
Donnie Freeman,190,183,1944
Kevin Grevey,196,209,1953
Bob Gross,198,198,1953
Lindsay Hairston,201,179,1951
Glenn Hansen,193,203,1952
Robert Hawkins,193,190,1954
Wilbur Holland,183,174,1951
Lionel Hollins,190,183,1953
Steve Jones,196,203,1942
Rich Kelley,213,234,1953
Tom Kropp,190,203,1953
C.J. Kupec,190,203,1953
John Lambert,208,225,1953
John Laskowski,198,183,1953
Greg Lee,190,190,1951
Clyde Mayes,203,225,1953
Ken Mayfield,188,183,1948
Jim McElroy,190,190,1953
George McGinnis,203,234,1950
Tom McMillen,211,214,1952
Joe Meriweather,208,214,1953
Dave Meyers,203,214,1953
Frank Oleynick,188,183,1955
Cliff Pondexter,206,231,1954
Bill Robinzine,201,229,1953
John Roche,190,170,1949
Bruce Seals,203,209,1953
Ed Searcy,198,209,1952
Gene Short,198,198,1953
John Shumate,206,234,1952
Ricky Sobers,190,196,1953
Terry Thomas,203,218,1953
Rudy White,188,194,1953
Gus Williams,188,174,1953
Bill Willoughby,203,203,1957
Tom Abernethy,201,218,1954
Bird Averitt,185,170,1952
Tom Barker,211,225,1955
Marvin Barnes,203,209,1952
Norton Barnhill,193,203,1953
Mike Barr,190,179,1950
Tim Bassett,203,225,1951
Byron Beck,206,225,1945
Mel Bennett,201,198,1955
Ron Boone,188,198,1946
Quinn Buckner,190,190,1954
Ticky Burden,188,183,1953
Don Buse,193,190,1950
Mack Calvin,183,163,1947
M.L. Carr,183,163,1947
Cornelius Cash,203,214,1952
Norm Cook,203,209,1955
Louie Dampier,183,170,1944
Mel Daniels,206,218,1944
Adrian Dantley,196,207,1956
Johnny Davis,188,170,1955
Ron Davis,198,196,1954
Randy Denton,208,238,1949
Coby Dietrick,208,218,1948
Leon Douglas,208,229,1954
Mike Dunleavy,190,179,1954
Jim Eakins,211,214,1946
Len Elmore,206,218,1952
Darrell Elston,193,190,1952
Alex English,201,190,1954
Julius Erving,201,209,1950
Butch Feher,193,183,1954
Mike Flynn,188,179,1953
Terry Furlow,193,190,1954
Mike Gale,193,183,1950
Gus Gerard,203,198,1953
George Gervin,201,179,1952
Artis Gilmore,218,238,1949
Mike Green,208,198,1951
Steve Green,201,218,1953
Paul Griffin,206,203,1954
Rudy Hackett,206,209,1953
Phil Hicks,201,203,1953
Armond Hill,193,190,1953
Darnell Hillman,206,214,1949
Mo Howard,188,170,1954
Kim Hughes,211,218,1952
Dan Issel,206,234,1948
Dennis Johnson,193,183,1954
Bobby Jones,206,209,1951
Caldwell Jones,211,216,1950
Rich Jones,198,218,1946
Robin Jones,206,225,1954
Wil Jones,190,183,1936
George Karl,190,183,1952
Goo Kennedy,196,203,1949
Larry Kenon,206,203,1952
Billy Knight,198,194,1952
Mitch Kupchak,206,229,1954
Bo Lamar,185,179,1951
Ron Lee,193,192,1952
Scott Lloyd,208,229,1952
John Lucas,190,174,1953
Maurice Lucas,206,214,1952
Moses Malone,208,214,1955
Scott May,201,214,1954
Andre McCarter,190,190,1953
Ted McClain,185,179,1946
Allen Murphy,196,190,1952
Swen Nater,211,238,1950
Johnny Neumann,198,198,1951
Mark Olberding,203,225,1956
Tom Owens,208,214,1949
Joe Pace,208,218,1953
Robert Parish,213,229,1953
Sonny Parker,198,198,1955
Billy Paultz,211,234,1948
Marv Roberts,203,198,1950
Dave Robisch,208,234,1949
Marshall Rogers,185,190,1953
Dan Roundfield,203,203,1953
Phil Sellers,193,194,1953
Lonnie Shelton,203,238,1955
James Silas,185,179,1949
Ralph Simpson,196,198,1949
Al Skinner,190,190,1952
Willie Smith,213,218,1949
Keith Starr,198,190,1954
Earl Tatum,196,183,1953
Brian Taylor,188,183,1951
Fatty Taylor,183,174,1946
Ira Terrell,203,198,1954
Claude Terry,193,194,1950
David Thompson,193,194,1954
Monte Towe,170,150,1953
Dave Twardzik,185,174,1950
Jan Van,185,174,1950
Andy Walker,193,190,1955
Wally Walker,201,190,1954
Lloyd Walton,183,159,1953
Henry Ward,193,194,1952
Richard Washington,211,218,1955
Marvin Webster,216,225,1952
Bob Wilkerson,198,194,1954
Chuck Williams,183,163,1943
Chuckie Williams,183,163,1943
John Williamson,188,183,1951
Willie Wise,196,209,1947
Larry Wright,185,159,1954
Tate Armstrong,190,174,1955
Greg Ballard,201,214,1955
Kent Benson,208,234,1954
Otis Birdsong,190,190,1955
Phil Bond,188,174,1954
Jim Bostic,201,225,1953
Alonzo Bradley,198,190,1953
Mike Bratz,188,183,1955
Wayman Britt,188,183,1952
Kenny Carr,201,218,1955
Bob Carrington,198,194,1953
Wesley Cox,198,214,1955
Charlie Criss,173,163,1948
Mark Crow,201,209,1954
Brad Davis,190,179,1955
Walter Davis,203,203,1931
Jacky Dorsey,201,229,1954
T.R. Dunn,201,229,1954
James Edwards,213,225,1955
Bo Ellis,196,183,1936
Al Fleming,201,214,1954
Bayard Forrest,208,234,1954
Mike Glenn,188,174,1955
Glen Gondrezick,198,216,1955
Rickey Green,183,170,1954
Greg Griffin,201,190,1952
Ernie Grunfeld,198,209,1955
Joe Hassett,196,179,1955
Eddie Johnson,203,203,1944
Larry Johnson,190,203,1954
Marques Johnson,201,216,1956
Eddie Jordan,185,170,1955
Bernard King,201,203,1956
Toby Knight,206,209,1955
John Kuester,188,179,1955
Tom LaGarde,208,218,1955
Mark Landsberger,203,214,1955
Rich Laurel,198,190,1954
Ricky Marsh,190,198,1954
Cedric Maxwell,203,203,1955
Larry Moffett,203,209,1954
Glenn Mosley,203,194,1955
Norm Nixon,188,170,1955
Eddie Owens,201,209,1953
Ben Poquette,206,234,1955
Robert Reid,203,203,1955
Anthony Roberts,196,183,1955
Tony Robertson,193,194,1956
Tree Rollins,216,234,1955
Alvin Scott,201,183,1955
Steve Sheppard,198,214,1954
Jack Sikma,211,229,1955
Scott Sims,185,170,1955
Robert Smith,180,163,1955
Phil Walker,190,179,1956
Wilson Washington,206,225,1955
Ray Williams,190,187,1954
Kim Anderson,201,198,1955
Del Beshore,180,163,1956
Dennis Boyd,185,174,1954
Winford Boynes,198,183,1957
Ron Brewer,193,179,1955
Greg Bunch,198,190,1956
Marty Byrnes,201,214,1956
Ron Carter,196,190,1956
Maurice Cheeks,185,179,1956
Michael Cooper,196,170,1956
Wayne Cooper,208,218,1956
Dave Corzine,211,249,1956
Geoff Crompton,211,280,1955
Harry Davis,201,218,1956
Bob Elliott,206,225,1955
Ray Epps,198,194,1956
Phil Ford,188,174,1956
Jack Givens,196,203,1956
Tommie Green,188,183,1956
Lars Hansen,208,225,1954
James Hardy,203,218,1956
Keith Herron,198,194,1956
Kenny Higgs,183,179,1955
Essie Hollis,198,194,1955
Otis Howard,201,218,1956
Clemon Johnson,208,238,1956
Jeff Judkins,198,183,1956
Joel Kramer,201,203,1955
Butch Lee,183,183,1956
John Long,196,194,1956
Billy McKinney,183,159,1955
Mike Mitchell,201,214,1956
John Olive,201,209,1955
Roger Phegley,198,203,1956
Stan Pietkiewicz,196,198,1956
Wayne Radford,190,203,1956
Marlon Redmond,198,187,1955
Micheal Ray,198,187,1955
Rick Robey,211,229,1956
Jackie Robinson,198,209,1955
John Rudd,201,229,1955
Frankie Sanders,198,198,1957
Purvis Short,201,209,1957
Sam Smith,201,229,1944
Reggie Theus,201,190,1957
Mychal Thompson,208,225,1955
Raymond Townsend,190,174,1955
Terry Tyler,201,214,1956
Andre Wakefield,190,174,1955
Jerome Whitehead,208,218,1956
Freeman Williams,193,190,1956
Rick Wilson,196,198,1956
James Bailey,206,218,1957
Billy Ray,206,218,1957
Larry Bird,206,218,1956
Lawrence Boston,203,225,1956
Dudley Bradley,198,194,1957
Bill Cartwright,216,245,1957
Jeff Cook,208,214,1956
Hollis Copeland,198,179,1955
John Coughran,201,225,1951
Terry Crosby,193,194,1957
Pat Cummings,206,229,1956
Paul Dawkins,196,190,1957
Greg Deane,193,190,1957
Larry Demic,206,225,1957
Terry Duerod,188,179,1956
Earl Evans,203,201,1955
Mike Evans,185,170,1955
Gary Garland,193,179,1957
Dave Greenwood,206,220,1957
Roy Hamilton,188,179,1957
Gerald Henderson,188,174,1956
Johnny High,190,183,1957
Brad Holland,190,179,1956
Phil Hubbard,203,214,1956
Geoff Huston,188,174,1957
Abdul Jeelani,203,209,1954
Cheese Johnson,183,170,1949
Magic Johnson,201,216,1956
Vinnie Johnson,188,198,1956
Major Jones,206,225,1953
Greg Kelser,201,190,1957
Irv Kiffin,206,225,1951
Carl Kilpatrick,208,229,1956
Reggie King,198,225,1957
Arvid Kramer,206,218,1956
Allen Leavell,185,170,1957
Ollie Mack,190,183,1957
Steve Malovic,208,229,1956
Paul Mokeski,213,249,1957
Sidney Moncrief,190,179,1957
Calvin Natt,198,218,1957
Sylvester Norris,211,218,1957
Wiley Peck,201,218,1957
Sam Pellom,206,225,1951
Clint Richardson,190,194,1956
Cliff Robinson,206,218,1960
Jim Spanarkel,196,190,1957
Bernard Toone,206,209,1956
Duck Williams,188,179,1956
Sly Williams,201,209,1958
Bubba Wilson,190,174,1955
Tony Zeno,203,209,1957
Darrell Allums,206,218,1958
Norman Black,196,183,1957
Dave Britton,193,179,1958
Michael Brooks,201,218,1958
Lewis Brown,190,190,1919
Rickey Brown,208,214,1958
Joe Barry,193,194,1969
Butch Carter,196,179,1958
Reggie Carter,190,174,1957
Art Collins,193,183,1954
Don Collins,198,179,1951
Darwin Cook,190,183,1958
Earl Cureton,206,209,1957
Monti Davis,201,203,1958
James Donaldson,218,273,1957
Larry Drew,185,170,1958
Ralph Drollinger,218,249,1954
John Duren,190,194,1958
Tony Fuller,193,179,1958
Calvin Garrett,201,190,1956
Mike Gminski,211,249,1959
Darrell Griffith,193,190,1958
Bill Hanzlik,201,183,1957
Alan Hardy,201,194,1957
Mike Harper,208,194,1957
Cedrick Hordges,203,218,1957
Tony Jackson,193,198,1942
Lee Johnson,211,203,1957
Reggie Johnson,206,203,1957
Edgar Jones,208,225,1956
Walter Jordan,201,196,1956
Clarence Kea,198,216,1959
Chad Kinch,193,190,1958
Wayne Kreklow,193,174,1957
Bill Laimbeer,211,245,1957
Edmund Lawrence,213,227,1952
Ronnie Lester,188,174,1959
Kyle Macy,190,174,1957
Rick Mahorn,208,238,1958
Wes Matthews,185,170,1959
Bill Mayfield,201,203,1957
Keith McCord,201,209,1957
Kevin McHale,208,209,1957
Dick Miller,198,214,1958
Johnny Moore,185,174,1958
Lowes Moore,185,170,1957
Kenny Natt,190,183,1958
Carl Nicks,185,174,1958
Mike Niles,198,225,1955
Mike O'Koren,201,205,1958
Jawann Oldham,213,214,1957
Louis Orr,203,174,1958
Myles Patrick,203,218,1954
Tony Price,198,190,1957
Wally Rank,198,218,1958
Kelvin Ransey,185,170,1958
James Ray,203,214,1957
Billy Reid,196,190,1957
Wayne Robinson,203,216,1958
Lorenzo Romar,185,174,1958
DeWayne Scales,203,207,1958
Craig Shelton,201,209,1957
Jerry Sichting,185,168,1956
Larry Smith,203,214,1958
Rory Sparrow,188,174,1958
John Stroud,201,214,1957
Carlos Terry,196,209,1956
Andrew Toney,190,176,1957
Ronnie Valentine,201,209,1957
Kiki Vandeweghe,203,218,1958
Brett Vroman,213,218,1955
Hawkeye Whitney,201,229,1939
Michael Wiley,206,198,1957
James Wilkes,198,190,1953
Jeff Wilkins,211,229,1955
Mike Woodson,196,194,1958
Sam Worthen,196,194,1958
Mark Aguirre,198,231,1959
Danny Ainge,193,174,1959
Carl Bailey,213,209,1958
Gene Banks,201,214,1959
Rolando Blackman,198,190,1959
Ray Blume,193,183,1958
Alex Bradley,198,190,1953
Charles Bradley,196,214,1959
Brad Branson,208,218,1958
Jim Brogan,193,183,1958
Roger Burkman,196,174,1958
David Burns,188,179,1958
Bobby Cattage,206,249,1958
Tom Chambers,208,218,1959
Joe Cooper,208,229,1957
Charles Davis,188,159,1949
Kenny Dennard,203,218,1958
Mickey Dillard,190,170,1958
John Douglas,188,170,1956
Craig Dykema,203,190,1959
Franklin Edwards,185,170,1959
Petur Gudmundsson,218,258,1958
Glenn Hagan,183,170,1955
Steve Hayes,213,203,1955
Tracy Jackson,198,203,1959
Clay Johnson,208,238,1956
Frank Johnson,185,183,1958
Steve Johnson,203,218,1944
Albert King,198,190,1959
Jeff Lamp,198,194,1959
Rock Lee,193,192,1952
Alton Lister,213,238,1958
Lewis Lloyd,198,203,1959
Kevin Loder,198,203,1959
Rudy Macklin,201,203,1958
John McCullough,193,190,1956
Hank McDowell,206,214,1959
Mike McGee,196,190,1959
Kevin McKenna,196,194,1959
Larry Nance,208,203,1959
Kurt Nimphius,208,216,1958
Mark Radford,193,190,1959
Ed Rains,201,190,1956
Kurt Rambis,203,212,1958
Jeff Ruland,208,238,1958
Danny Schayes,211,234,1959
Jim Smith,206,225,1958
Larry Spriggs,201,229,1959
Isiah Thomas,185,179,1961
Ray Tolbert,206,225,1958
Kelly Tripucka,198,218,1959
Elston Turner,196,190,1959
Darnell Valentine,185,183,1959
Pete Verhoeven,206,214,1959
Jay Vincent,201,218,1959
Danny Vranes,201,209,1958
Buck Williams,203,214,1960
Herb Williams,208,240,1958
Garry Witts,201,190,1959
Al Wood,198,192,1958
Howard Wood,201,234,1959
Orlando Woolridge,206,214,1959
Rich Yonakor,206,218,1958
Dwight Anderson,190,183,1960
J.J. Anderson,190,183,1960
Richard Anderson,208,238,1960
John Bagley,183,183,1960
Dave Batton,208,238,1956
Lester Conner,193,179,1959
Chubby Cox,188,179,1955
Terry Cummings,206,218,1961
Quintin Dailey,190,179,1961
Mark Eaton,224,273,1957
Jerry Eaves,193,179,1959
Keith Edmonson,196,194,1960
Chris Engler,211,245,1959
Bruce Flowers,203,225,1957
Sleepy Floyd,190,170,1960
Bill Garnett,208,218,1940
John Greig,201,214,1961
Scott Hastings,208,234,1960
Rod Higgins,201,198,1960
Craig Hodges,188,190,1960
Marc Iavaroni,203,209,1956
Jim Johnstone,211,245,1960
Hutch Jones,203,190,1959
Clark Kellogg,201,225,1961
Joe Kopicki,206,238,1960
Fat Lever,190,170,1960
Cliff Levingston,203,209,1961
Steve Lingenfelter,206,225,1958
Dave Magley,203,201,1959
Mark McNamara,211,234,1959
Guy Morgan,203,203,1960
Ed Nealy,201,236,1960
Chuck Nevitt,226,216,1959
Audie Norris,206,229,1960
Eddie Phillips,201,225,1961
Ricky Pierce,193,203,1959
Charles Pittman,203,218,1958
Paul Pressey,196,183,1958
Oliver Robinson,193,179,1960
Walker Russell,196,194,1960
Mike Sanders,198,209,1960
Russ Schoene,208,209,1960
Ed Sherod,188,170,1959
Jose Slaughter,196,203,1960
Derek Smith,190,179,1920
Brook Steppe,196,194,1959
Jeff Taylor,193,174,1960
Vince Taylor,196,179,1960
Terry Teagle,196,194,1960
David Thirdkill,201,194,1960
Corny Thompson,203,225,1960
LaSalle Thompson,208,245,1961
Darren Tillis,211,214,1960
Linton Townes,201,190,1959
Trent Tucker,196,192,1959
Bryan Warrick,196,194,1959
Rory White,203,209,1959
Dominique Wilkins,201,198,1960
Rickey Williams,185,174,1957
Rob Williams,190,187,1944
James Worthy,206,225,1961
Jim Zoet,216,238,1953
Ken Austin,206,203,1961
Thurl Bailey,211,214,1961
Randy Breuer,221,229,1960
Wallace Bryant,213,245,1959
Howard Carter,196,214,1961
Carlos Clark,193,209,1960
Leroy Combs,203,209,1961
Russell Cross,208,214,1961
Darren Daye,203,218,1960
Clyde Drexler,201,209,1962
Craig Ehlo,198,179,1961
Dale Ellis,201,203,1960
Rod Foster,185,159,1960
John Garris,203,203,1959
Mike Gibson,208,203,1960
Stewart Granger,190,190,1961
Sidney Green,188,183,1933
Bob Hansen,198,190,1961
Derek Harper,193,183,1961
Roy Hinson,206,209,1961
Charles Jones,206,214,1957
Mark Jones,206,225,1953
Greg Kite,211,249,1961
Bruce Kuczenski,208,229,1961
Darrell Lockhart,206,245,1960
Sidney Lowe,183,194,1960
Jeff Malone,193,203,1961
Pace Mannion,201,190,1960
Rodney McCray,201,218,1961
Scooter McCray,206,214,1960
Larry Micheaux,206,218,1960
Bob Miller,208,229,1956
John Paxson,188,183,1960
John Pinone,203,229,1961
Tom Piotrowski,216,238,1960
Leo Rautins,203,214,1960
Doc Rivers,193,183,1961
Fred Roberts,208,216,1960
Ralph Sampson,224,227,1960
Byron Scott,190,194,1961
Steve Stipanovich,211,245,1960
Jon Sundvold,188,170,1961
Dane Suttle,190,190,1961
Jim Thomas,190,190,1960
Paul Thompson,198,209,1961
Sedale Threatt,188,174,1961
Granville Waiters,211,225,1961
Darrell Walker,193,179,1961
Brant Weidner,206,229,1960
Mark West,208,229,1960
Ennis Whatley,190,176,1962
Mitchell Wiggins,193,183,1959
Kevin Williams,188,174,1961
Michael Wilson,193,174,1959
Randy Wittman,198,209,1959
Chuck Aleksinas,211,258,1959
Ron Anderson,201,214,1958
Ken Bannister,206,234,1960
Charles Barkley,198,251,1963
Cory Blackwell,198,209,1963
Sam Bowie,216,234,1961
Frank Brickowski,206,238,1959
Tony Brown,198,183,1960
Steve Burtt,188,183,1962
Michael Cage,206,223,1962
Tony Campbell,201,214,1962
Rick Carlisle,196,209,1959
Antoine Carr,206,225,1961
Ron Cavenall,216,229,1959
Steve Colter,190,163,1962
Devin Durrant,201,198,1960
Kenton Edelin,203,203,1962
Kenny Fields,196,218,1962
Vern Fleming,196,183,1962
Lancaster Gordon,190,183,1962
Butch Graves,190,198,1962
Stuart Gray,213,234,1963
Mike Holton,193,183,1961
Jay Humphries,190,183,1962
Ralph Jackson,188,190,1962
Earl Jones,213,209,1961
Ozell Jones,211,234,1960
Michael Jordan,198,194,1963
Jerome Kersey,201,214,1962
Tim McCormick,211,238,1962
Jay Murphy,206,218,1962
Hakeem Olajuwon,213,254,1963
Sam Perkins,206,234,1961
Jim Petersen,208,234,1962
Gary Plummer,206,214,1962
David Pope,201,218,1962
Alvin Robertson,190,183,1962
Wayne Sappleton,206,214,1960
Tom Scheffler,211,238,1954
John Schweitz,198,209,1960
Tom Sewell,196,183,1962
Charlie Sitton,203,209,1962
Tom Sluby,193,198,1962
Terence Stansbury,196,170,1961
John Stockton,185,170,1962
Peter Thibeaux,201,209,1961
Bernard Thompson,198,209,1962
Otis Thorpe,206,225,1962
Jeff Turner,206,229,1962
Melvin Turpin,211,238,1960
Willie White,190,194,1962
Eddie Lee,190,194,1962
Dale Wilkinson,208,218,1960
Guy Williams,188,174,1953
Kevin Willis,188,174,1961
Othell Wilson,183,190,1961
Leon Wood,190,183,1962
Danny Young,190,174,1962
Michael Young,201,218,1961
Michael Adams,178,161,1963
John Battle,188,174,1962
Benoit Benjamin,213,249,1964
Uwe Blab,216,251,1962
Manute Bol,231,198,1962
Mike Brittain,213,234,1963
Terry Catledge,203,218,1963
Lorenzo Charles,201,225,1963
Fred Cofield,190,190,1962
David Cooke,203,229,1963
Tyrone Corbin,198,209,1962
Ron Crevier,213,234,1958
Jeff Cross,208,238,1961
Joe Dumars,190,190,1963
Patrick Ewing,213,238,1962
Georgi Glouchkov,203,234,1960
A.C. Green,203,234,1960
Ken Green,203,214,1959
Kenny Green,203,214,1959
Claude Gregory,203,203,1958
Steve Harris,196,194,1963
Jerome Henderson,211,229,1959
Carl Henry,198,203,1960
Alfredrick Hughes,198,203,1960
Ken Johnson,203,238,1962
Yvon Joseph,211,245,1957
Harold Keeling,193,183,1963
Joe Kleine,211,254,1962
Jon Koncak,213,249,1963
Keith Lee,208,214,1962
Karl Malone,206,249,1963
Bill Martin,201,203,1962
Brian Martin,206,212,1962
Dwayne McClain,198,183,1963
Xavier McDaniel,201,203,1963
Ben McDonald,203,209,1962
Chris McNealy,201,209,1961
Dirk Minniefield,190,179,1961
Perry Moss,188,183,1958
Chris Mullin,198,198,1963
Charles Oakley,203,225,1963
Michael Phelps,193,179,1961
Ed Pinckney,206,194,1963
Terry Porter,190,194,1963
Blair Rasmussen,213,249,1962
Jerry Reynolds,203,198,1962
Derrick Rowland,196,194,1959
Detlef Schrempf,206,214,1963
Carey Scurry,201,187,1962
Mike Smrek,213,249,1962
Alex Stivrins,203,218,1962
Greg Stokes,208,218,1963
Bob Thornton,208,225,1962
Wayman Tisdale,206,238,1964
Sedric Toney,188,176,1962
Nick Vanos,216,254,1963
Sam Vincent,188,183,1963
Spud Webb,168,132,1963
Bill Wennington,213,245,1963
Gerald Wilkins,198,183,1963
Pete Williams,201,190,1965
Voise Winters,203,198,1962
Rafael Addison,201,214,1964
Mark Alarie,203,216,1963
William Bedford,213,225,1963
Walter Berry,203,214,1964
Joe Binion,203,234,1961
Adrian Branch,201,183,1963
Mike Brown,206,256,1963
Ben Coleman,206,234,1961
Dell Curry,193,190,1964
Brad Daugherty,213,245,1965
Johnny Dawkins,188,163,1963
Bruce Douglas,190,194,1964
Greg Dreiling,216,249,1962
Kevin Duckworth,213,273,1964
Dave Feitl,211,234,1962
Kenny Gattison,203,225,1964
Grant Gondrezick,196,203,1963
Ron Harper,198,183,1964
Cedric Henderson,203,209,1965
Kevin Henderson,193,194,1964
Conner Henry,201,194,1963
Jeff Hornacek,190,190,1963
Myron Jackson,190,183,1964
Buck Johnson,201,190,1964
Steffond Johnson,203,218,1944
Anthony Jones,198,194,1962
Tim Kempton,208,245,1964
Curtis Kitchen,206,234,1964
Larry Krystkowiak,206,218,1964
Jim Lampley,208,229,1960
Fernando Martin,206,218,1962
Maurice Martin,198,198,1964
Forrest McKenzie,201,198,1963
Nate McMillan,196,194,1964
Cozell McQueen,211,234,1962
Pete Myers,198,179,1963
Johnny Newman,201,190,1963
Dennis Nutt,188,170,1963
Chuck Person,203,218,1964
Dwayne Polee,196,179,1963
Harold Pressley,201,209,1963
Mark Price,183,170,1964
Dennis Rodman,201,209,1961
Johnny Rogers,208,225,1963
Ron Rowan,196,198,1962
John Salley,211,229,1964
Brad Sellers,213,209,1962
McKinley Singleton,196,174,1961
Scott Skiles,185,179,1964
Clinton Smith,198,209,1964
Keith Smith,190,170,1965
Otis Smith,196,209,1964
Roy Tarpley,211,229,1964
Billy Thompson,201,194,1963
Andre Turner,180,159,1964
Kenny Walker,203,209,1964
Chris Washburn,211,225,1965
Pearl Washington,188,190,1964
John Williams,188,183,1951
David Wingate,196,183,1963
Brad Wright,211,225,1962
Perry Young,196,209,1963
Mark Acres,211,218,1962
Steve Alford,188,183,1964
Greg Anderson,208,229,1964
Joe Arlauckas,206,229,1965
Vincent Askew,198,209,1966
Nate Blackwell,193,170,1965
Muggsy Bogues,160,134,1965
Norris Coleman,203,209,1961
Dallas Comegys,206,203,1964
Winston Crite,201,231,1965
Billy Donovan,180,170,1965
Chris Dudley,188,179,1950
Jim Farmer,193,190,1964
Tellis Frank,208,225,1965
Kevin Gamble,196,209,1965
Winston Garland,188,170,1964
Armen Gilliam,206,229,1964
Horace Grant,208,214,1965
Dave Henderson,196,194,1964
Dave Hoppen,211,234,1964
Dennis Hopson,196,198,1965
Eddie Hughes,178,163,1960
Mark Jackson,185,179,1965
Michael Jackson,201,214,1949
Kannard Johnson,206,218,1965
Kevin Johnson,203,238,1962
Bart Kofoed,193,209,1964
Ralph Lewis,198,198,1963
Reggie Lewis,201,194,1965
Brad Lohaus,211,229,1964
Derrick McKey,206,203,1966
